streetmarker,count_vehiclepresent
20330E,625
20333W,723
20334E,656
20335W,1023
20336E,734
20337W,953
20338E,921
20339W,754
20340E,737
20342E,720
20343W,846
20344E,723
20345W,716
20346E,869
20347W,814
20348E,911
20349W,776
20350E,863
20351W,555
20352E,1026
20353W,831
20354E,950
20355W,941
20356E,1467
20357W,763
20358E,1146
2035S,5939
20360E,1293
20361W,826
20363W,934
20364E,703
20365W,822
20366E,1078
20367W,1051
20368E,1301
20369W,1221
20370E,645
20371W,1095
20372E,707
20373W,1182
20374E,651
20375W,962
20376E,592
20377W,1085
20378E,701
20379W,1379
2037S,5631
20380E,398
20382E,461
20384E,727
20385W,1162
20387W,1072
20388E,644
20389W,814
20390E,631
20392E,1220
20393W,1610
20394E,610
20396E,816
20397W,803
20398E,1382
20399W,1064
20400N,738
20402N,750
20403W,957
20404N,372
20405W,1482
20406N,806
20408N,737
20409W,1183
20410N,1031
20412N,238
20413W,747
20414N,267
20415W,1144
20416N,537
20417W,700
20418N,440
20419W,333
20420N,805
20421W,281
20422N,419
20423W,663
20424N,916
20425S,475
20426N,691
20427S,551
20428N,693
20429S,239
20430E,602
20432E,527
20433S,637
20434E,483
20436E,632
20437W,455
20438E,609
20439W,571
20440E,720
20441W,23
20442E,555
20443W,488
20444E,486
20445W,566
20446E,770
20447W,400
20448E,580
20449W,8
20450E,30
20451W,15
20452E,30
20453W,377
20454E,14
20455W,353
20456E,417
20457W,17
20458E,462
20459W,23
20460E,196
20461W,294
20462E,500
20463W,185
20464E,552
20465W,411
20466E,28
20467W,447
20468E,689
20469W,473
20470E,19
20471W,200
20472E,576
20473W,380
20474E,749
20475W,10
20476E,645
20477W,10
20478E,890
20479W,15
20480E,640
20481W,173
20482E,1085
20483W,548
20485W,129
20486E,820
20487W,272
20488E,768
20489W,466
20490E,644
20492N,6
20494N,7
20496N,265
20498N,5
20500N,1
20502N,2
20504N,8
20506N,383
20508N,5
2050N,9461
2052N,7141
2054N,7270
2056N,7843
2091S,371
2094N,3310
2095S,4001
20E,4084
2101S,2710
2103S,3573
2105S,3097
2114N,3536
2116N,3622
2118N,4337
2125S,4663
2127S,5082
2137S,5161
2139S,4320
2141S,4425
2143S,4507
2145S,4406
2149S,5817
2151S,4694
2153S,5541
2177S,3495
2195S,4933
2200N,6383
2206N,7577
2208N,6390
2217S,6694
2219S,6880
2221S,1430
2223S,4122
2225S,3486
2227S,5014
2228N,4538
2230N,3655
2234N,4448
2238N,4197
2240N,3182
2242N,3545
2243S,4007
2244N,3820
2245S,4748
2246N,4152
2248N,3654
2249S,5782
2250N,3116
2251S,5465
2252N,3362
2254N,3322
2256N,3470
2257W,3983
2258N,3625
2259W,3247
2260N,4275
2261W,3236
2263W,2826
2273S,4259
2283S,2741
2285S,3396
2287S,3564
2289S,3182
2291S,4072
2295S,3580
2297S,359
2299S,346
2303S,326
2307S,353
2311S,390
2313S,2937
2316N,4507
2317S,560
2318N,420
2319S,356
2321S,687
2323S,6219
2325S,5808
2327S,10670
2334N,5322
2336N,4806
2337S,5280
2338N,4569
2339S,5130
2340N,5562
2341S,4499
2342N,5507
2343S,4460
2344N,4700
2345S,5694
2346N,5209
2348N,5572
2350N,8323
2357S,5607
2359S,6587
2361S,5782
2363S,5801
2365S,6492
2367S,6340
2369S,6228
2371S,6137
2373S,6217
2374N,7245
2376N,6098
2380N,6533
2381S,10118
2382N,8613
2384N,9314
2386N,11371
2390N,6548
2392N,5856
2393S,8298
2394N,7093
2396N,5834
2397S,7738
2398N,5178
2399S,7051
2400N,4940
2402N,5237
2411S,4579
2441S,11123
2443S,257
2457S,5982
2459S,5010
2461S,5603
2473S,7088
2476N,4034
2477S,4455
2479S,4975
2481S,5583
2483S,4872
2486N,6539
2487S,4919
2488N,6458
2489S,5359
2490N,6218
2493S,2918
2495S,3218
2504N,6274
2506N,5502
2508N,4218
2510N,5039
2513S,3419
2515S,3371
2517S,4257
253W,10452
2549S,5958
2551S,7377
2553S,6866
2555S,6108
2557S,7134
255W,11060
2561S,3802
2563S,4509
2565S,7224
2567S,4757
2569S,6086
2571S,3089
2574N,4454
2579S,4457
2581S,4966
2583S,4922
2585S,4936
2589S,6510
2590N,9552
2591S,7875
2592N,4621
2593S,7482
2594N,3921
2595S,7063
2597S,4883
2599S,4614
25W,13855
2601S,4445
2603S,4228
2605S,4688
2606N,3943
2608N,4133
2614N,2372
2621S,4020
2623S,3157
2625S,4249
2627S,3792
2635S,5510
2674N,12273
2678N,8727
2682N,8020
2686N,8778
2690N,10305
2694N,7670
2698N,8077
2702N,9332
2793S,6479
2795S,5245
27W,10501
2822N,2676
283W,5143
2841S,16487
2843S,7632
2845S,6870
2846N,2603
2847S,6735
2849S,6062
2851S,5051
2853S,5029
2855S,5165
2856N,5652
2857S,5107
285W,4300
2861S,7910
2862N,4675
287W,4487
2882N,5660
2884N,16210
2886N,12394
2888N,12345
2890N,11716
2892N,6551
2893S,6693
2895S,6305
2897S,7307
2899S,9635
289W,4361
291W,4839
2952N,7
2963S,4716
2988N,24736
29W,6420
2E,2602
3004N,12608
3008N,13207
3012N,16101
3021S,4120
3023S,4202
3025S,3422
3027S,3532
3029S,936
3052N,11184
3056N,11081
3086N,7
3087S,6
3090N,11976
3091S,2776
3093S,2895
3094N,10411
3095S,3367
3097S,2786
3099S,3796
3101S,3997
3103S,3097
3105S,4696
3107S,5387
3109S,8032
31W,6475
3254N,9326
3258N,25488
3262N,6876
3300N,3021
3301S,3394
3302N,2771
3307S,4168
3308N,3168
330Ea,4841
330Eb,5385
3310N,2651
3311S,1947
3312N,4127
3315S,2688
3316N,3955
3317S,2299
3318N,3328
3319S,2302
3323S,3746
3325S,3249
3327S,2965
3337S,2854
3338N,3667
3339S,2341
3340N,2599
3341S,2551
3342N,2359
3343S,4207
3344N,2124
3345S,3527
3346N,2380
3348N,2917
334E,4447
3357S,4478
3359S,4185
3388N,10746
338E,4272
3390N,6266
3392N,4263
3394N,3717
3396N,3718
3398N,3841
33W,5946
3400N,3352
3402N,3634
3403S,4005
3405S,3911
3406N,4387
3407S,4046
3408N,3854
3409S,4484
3410N,3954
3411S,4597
3412N,4095
3413S,4485
3414N,4125
3415S,4242
3416N,5015
3417S,4648
3420N,4917
3428N,1
342E,4575
3433S,5383
3435S,6636
3442N,7185
3444N,7412
3446N,6809
3448N,8646
3450N,9495
3452N,8379
3454N,8415
3455S,4371
3456N,8008
3456NA,5269
3456NB,6613
3456NC,5199
3456ND,2420
3457S,4683
3461S,3163
3463S,2700
3464N,3263
3465S,3719
3466N,2689
3467S,4135
346E,4555
3477S,7
3480N,3280
3488N,3309
3490N,2801
3492N,2974
3494N,2918
3496N,2629
3498N,2954
3500N,3195
3502N,3305
3504N,3430
3507S,4285
3509S,3493
350E,3679
3511S,4070
3514N,4433
3515S,3938
3516N,3282
3517S,3703
3518N,5182
3519S,5223
3545S,2363
3547S,2095
3549S,3286
354E,4788
3551S,3250
3553S,3455
3564N,1351
3566N,3068
3568N,7927
35W,6576
3607S,5933
3609S,4024
3611S,1953
3619S,1
362E,3384
3660N,8757
3662N,6458
3664N,7537
3666N,6480
3668N,7251
3688N,9802
3690N,5696
3692N,6927
3693S,6922
3697S,6757
3699S,1
3701S,4493
3703S,7
3705S,4389
3707S,4643
3751S,16259
3753S,14094
3755S,13095
3757S,14420
3759S,13147
3761S,8445
3763S,7876
3774N,6768
3795S,14692
3797S,12486
37W,5289
3807S,3263
3809S,5350
3811S,2359
3813S,2655
3815S,2457
3817S,2508
3819S,7106
3821S,6538
3823S,6015
3825S,6459
3830N,5942
3831S,7506
3832N,6130
3833S,9629
3834N,8168
3836N,9136
3858N,6298
3860N,5510
3862N,5800
3864N,6407
3865S,3591
3867S,4587
3868N,5873
3869S,3239
3871S,4457
3873S,3309
3874N,7416
3875S,4955
3876N,7476
3878N,9656
390E,6866
3912N,7046
3914N,5811
3916N,4430
3918N,3863
3920N,3873
3922N,3605
3924N,4005
3926N,4619
3928N,4234
392E,6053
3930N,3746
3932N,3547
3934N,3956
3936N,4814
3938N,4569
3940N,7115
3942N,6309
3944N,6573
3945S,5785
3947S,5642
3949S,5501
394E,6655
3951S,5775
3953S,5455
3955S,5227
3956N,7645
3957S,3560
3958N,3193
3960N,3098
3961S,3824
3962N,3893
3964N,3399
3968N,4946
3969S,4042
3975S,3586
3976N,3192
3977S,2818
3978N,3279
3980N,4467
3981S,3730
3983S,5283
3984N,3914
3986N,3718
39W,6480
4000N,5096
4002N,4493
4003W,7491
4004N,5003
4005W,9173
4006N,4840
4008N,2387
4099W,8134
4101W,6558
41W,5116
425W,8032
427W,5647
429W,6167
431W,5766
433W,5711
435W,5532
4369W,5997
4371W,5656
4373W,3844
437W,4906
4380E,6421
4382E,6669
4384E,1053
4386E,5034
4388E,5463
4390E,5458
439W,5386
441W,5968
4450E,5139
4451W,4467
4453W,4093
4455W,4571
4456E,3807
4457W,5268
4458E,4205
4459W,5325
4460E,4272
4461W,4692
4462E,5558
4463W,5766
4464E,4748
4465W,6260
4466E,4554
4467W,1625
4468E,4611
4469W,1822
4470E,4721
4471W,1968
4472E,3499
4472EA,4288
4474E,2982
4474EA,3781
4475W,2859
4476E,3210
4477W,3222
4478E,3739
4479W,3042
4480E,3266
4482E,3197
4483W,3332
4484E,3444
4485W,4535
4486E,3459
448E,11898
4497W,5140
4499W,4926
4501W,5608
4503W,4016
4505W,4067
4507W,5288
4509W,5552
4513W,2874
4515W,2605
4517W,2401
4519W,2529
4521W,1511
4523W,1894
4525W,1640
4527W,2260
4529W,2336
452E,6115
4531W,1775
4533W,2024
4535W,1849
4537W,2485
4574E,3081
4576E,3252
4578E,3244
4580E,4075
4586E,3661
4588E,2831
4590E,2846
4592E,2923
4594E,3130
45W,5
460E,6185
4664Ea,493
4666Ea,2263
4682Ea,293
4684Ea,5107
4686Ea,2350
4688Ea,6042
4690Ea,6289
4692Ea,7086
4694Ea,6824
4696Ea,6635
4700Ea,7921
4702Ea,6181
4704Ea,8628
4825W,3323
4827W,3947
4829W,4019
482E,3802
4831W,4318
4833W,3966
4835W,5151
4841W,6269
4858E,1397
4865W,1629
4867W,1710
4869W,1744
486E,5990
4870E,2363
4871W,1755
4873W,1795
4875W,1670
4877W,1889
4879W,1771
487W,3954
4881W,1765
4882E,3102
4883W,1681
4885W,1874
4886E,3294
4887W,1819
4889W,1924
4891W,1829
4893W,1944
4895W,2082
4897W,2185
4899W,2254
489W,3984
4901W,2412
4903W,2403
4905W,2537
4907W,2623
4909W,2588
4912E,103
4914E,154
4916E,99
491W,4680
4E,3022
5048E,1700
5050E,2891
5052E,3370
5058E,3417
5060E,2746
5062E,2338
5064E,2548
5066E,2639
5068E,3439
5072E,2322
5078E,1736
5080E,1761
5082E,1567
5084E,1659
5086E,1532
5088E,1935
5090E,95
5092E,1401
5094E,1759
5096E,1843
5098E,1334
5100E,1280
5102E,1541
5104E,534
5106E,1173
5108E,1039
5117W,2210
5119W,2982
5121W,2324
5123W,2176
5125W,382
5130E,1253
5131W,1797
5132E,1253
5133W,1517
5134E,1222
5136E,1076
5140E,1193
5141W,1605
5142E,1230
5143W,1500
5144E,1162
5145W,1324
5146E,1318
5147W,1086
5148E,1072
5149W,1687
5150E,1063
5152E,1113
5154E,1142
5156E,1048
5158E,1105
5162E,1114
5180E,2664
5181W,2245
5182E,2807
5183W,4089
5184E,2794
5185W,4426
5186E,3078
5188E,3352
5190E,3264
5192E,3315
5201W,2943
5209W,3539
5220E,2571
5224E,3
5226E,3274
5228E,3094
5230E,3032
5232E,2593
5234E,2227
5236E,2804
5238E,2437
5240E,2678
5242E,1908
5246E,2132
5248E,2735
5250E,2630
5252E,2772
5256E,1891
5257W,1117
5258E,2371
5259W,1737
5260E,1868
5261W,1149
5263W,810
5264E,2889
5265W,898
5266E,2517
5267W,47
5268E,2412
5269W,2465
5270E,2151
5271W,2642
5272E,2189
5274E,2203
5276E,2271
5278E,2364
5280E,2314
5282E,2199
5284E,2426
5286E,2523
5288E,2549
5290E,2557
5292E,3073
5314E,15891
5316E,11853
5317W,3773
5318E,5082
5319W,2948
5320E,5002
5321W,3568
5322E,4570
5324E,4696
5325W,2958
5327W,2838
5329W,2636
5331W,2815
5333W,3120
5335W,2934
5337W,3473
5347W,2161
5349W,2204
5351W,2462
5353W,2797
5355W,2359
5378E,1388
5381W,1672
5382E,2320
5384E,2712
5390E,96
5392E,1477
5394E,1201
5396E,1304
5398E,1368
53W,13041
5400E,1478
5415W,1976
5417W,2301
5419W,3071
5444E,1888
5447W,2410
5449W,2524
5451W,1663
5457W,1715
5459W,1782
5460E,1943
5461W,1861
5463W,1632
5464E,1011
5468E,1463
5472E,1318
5476E,1128
5480E,1210
5491W,1841
549W,7130
5512E,979
5514E,776
5516E,526
5518E,925
551W,6384
5520E,1400
5522E,1237
5526E,1370
5530E,1896
5534E,990
5538E,528
553W,4305
554E,11887
5556E,584
555W,4847
5560E,789
5570E,908
5574E,788
5578E,716
557W,6934
5582E,803
5586E,1225
558E,11266
5590E,1632
5592E,2603
5594E,2302
55W,12617
562E,9800
566E,9645
570E,8625
5795W,1085
57W,11195
5802E,826
5804E,909
5806E,937
5807W,986
5808E,978
5809W,833
5810E,996
5812E,958
5814E,908
5816E,834
5818E,1015
5820E,942
5822E,1336
5824E,964
5826E,734
5828E,660
5829W,1226
5830E,703
5831W,934
5832E,752
5833W,819
5834E,631
5835W,1070
5836E,659
5838E,746
5840E,805
5842E,742
5844E,818
5846E,1017
5848E,359
5850E,348
5852E,387
594E,5001
5988N,4325
598E,4648
5990N,3654
5992N,3557
5994N,4223
5996N,4908
5998N,3925
59W,7549
6000N,3695
6002N,204
6004N,137
6006N,44
6012N,1597
6014N,1988
6027S,5933
6029S,4076
602E,4332
6031S,3251
6032E,430
6033S,4180
6034E,471
6035S,4134
6037S,4873
6039S,532
6041S,255
6043S,312
6044E,934
6051W,268
6055W,755
606E,3445
610E,104
614E,42
6171W,1249
6173W,835
6175W,1963
6177W,1198
6179W,482
6185W,1036
6187W,995
6189W,961
618E,14
6191W,868
6193W,835
6195W,976
6197W,918
6199W,1076
6203W,918
6205W,948
6207W,944
6209W,904
6211W,986
6213W,1066
6215W,1008
6217W,939
6219W,920
6221W,1047
6223W,1015
6225W,1023
6227W,967
6229W,1145
622E,17
6231W,900
6233W,1141
6235W,1142
6237W,922
6239W,1340
623W,4953
6240N,6263
6241W,1403
6243W,1118
6245W,6
6251S,3244
6252N,2237
6253S,2387
6254N,2893
6257S,2721
6259S,2147
625W,5798
6263S,2549
6265S,2791
6267S,2465
626E,20
627W,7988
630E,20
631W,4166
633W,4072
634E,26
643W,5149
645W,5397
647W,2356
649W,6502
6525S,368
6533S,313
6538N,4590
6540N,4428
6542N,4504
655W,7230
6571S,8498
6575S,9396
6576N,10226
657W,6525
6580N,6828
6581S,7947
6583S,7066
6584N,5979
6588N,6262
6592N,7244
659W,6029
65W,4210
6614N,5828
6619S,6310
661W,6481
6621S,6865
6623S,4937
6625S,6711
6627S,6331
6629S,6423
6631S,6385
6633S,7361
6659S,3500
6660N,4684
6661S,4113
6663S,3717
6664N,3847
6665S,3977
6667S,5854
6668N,3777
6669S,3968
6672N,4031
6676N,3737
6680N,4119
669W,5563
671W,4727
673W,4640
675W,4989
67W,2513
682E,5983
686E,5152
690E,5323
694E,5079
698E,5830
69W,3564
6E,2627
7013S,994
7017S,753
7019S,382
7021S,311
7023S,241
7025S,214
7027S,219
7029S,119
7033S,122
7035S,201
7037S,194
7039S,161
7041S,193
7060N,3349
7062N,2554
7063S,1632
7064N,1329
7065S,1728
7066N,2234
7069S,1042
7071S,834
7073S,1944
7075S,1982
7077S,1973
7078N,2635
7079S,1823
7081S,1814
7082N,3225
7083S,1906
7084N,1416
7085S,1886
7086N,1514
7087S,1014
7088N,2710
7089S,2086
7090N,3000
7091S,1615
7093S,1893
7095S,922
7096N,2049
7097S,1541
7098N,1606
7099S,2151
7101S,2850
7119S,1543
7120N,1139
7121S,1654
7129S,880
7135S,1599
7139S,1143
7141S,1123
7146N,1475
7161s,849
7163s,609
7165s,1121
7169s,2077
7171s,1402
7173s,1266
7175s,1008
7179s,1517
7181s,724
71W,3944
72E,2761
7325W,671
7326E,526
7327W,34
7329W,1196
7333W,1231
7334E,1088
7335W,1458
7336E,1503
7337W,1167
734E,6764
738E,4742
73W,3481
742E,5984
746E,5219
74E,2728
7552N,2740
7554N,3209
7558N,3890
7563S,6075
7565S,4800
7566N,3492
7567S,4681
7568N,2195
7570N,2558
7572N,2889
7573S,2404
7574N,2433
7575S,3180
7576N,2257
7577S,3135
7578N,2700
7579S,2922
7580N,2874
7582N,2159
7584N,2165
7585S,3727
7586N,2986
7588N,2764
7590N,3078
7592N,1333
7595S,2078
7597S,2313
7599S,3078
75W,3579
7620N,3260
7622N,2892
7624N,3722
7626N,3838
7628N,3331
7630N,3200
7632N,2024
7634N,2310
7636N,2114
7638N,2073
7640N,1599
7642N,3095
7644N,2725
7646N,774
7648N,1502
7650N,1045
7654N,909
7656N,806
7658N,1017
7660N,1331
7663S,2879
7664N,2440
7665S,2418
7666N,1199
7667S,2880
7668N,1627
7670N,1872
7671S,2081
7672N,1777
7673S,2033
7674N,1757
7675S,3184
7676N,2078
7677S,6380
767Wa,20793
7680N,2319
769W,7744
76E,2785
770E,7497
771W,8177
7720N,967
7722N,1803
7723S,723
7724N,619
7733S,2035
7735S,1222
7737S,1165
7739S,3729
773W,8035
7741S,5079
775W,7604
7762N,1022
7784N,7212
779W,8090
77W,3375
7805W,359
7809W,3223
780E,10043
7811W,4064
7813W,4298
7815W,3715
7817W,3284
7819W,2962
7821W,3939
7823W,2957
7829W,935
7831W,766
7833W,954
7835W,1115
7837W,994
7839W,1513
783W,10642
7841W,734
7843W,780
7845W,1104
7847W,1203
7849W,1229
7851W,1665
7853W,2158
787W,8327
789W,9230
78E,3471
791W,8642
793W,8326
795W,8320
797W,8568
79W,4185
8000E,3815
8001W,3166
8002E,5059
8003W,2734
8004E,4582
8005W,2534
8006E,3861
8007W,2242
8008E,2095
8009W,2693
8013W,1907
8014E,3408
8015W,1583
8016E,2550
8017W,2047
8018E,3999
8019W,2217
8021W,3018
812E,12197
816E,12634
81W,6340
8220E,1210
8222E,957
8224E,1086
8226E,995
8228E,608
8230E,460
8232E,1313
8234E,1153
8236E,1143
8238E,1205
8240E,1479
8279W,1493
8281W,1779
8283W,1566
8285W,1412
8287W,915
8289W,1072
8291W,1171
8293W,948
8295W,1144
8297W,1260
8299W,1152
82E,4144
8304E,796
8306E,775
8308E,701
8310E,733
8311W,1155
8312E,723
8314E,941
8315W,977
8316E,901
8317W,983
8318E,955
8319W,981
8320E,1037
8321W,990
8322E,1074
8323W,1161
8324E,1075
8325W,1332
8326E,976
8328E,1117
8329W,1633
8330E,1146
8331W,1559
8332E,1062
8333W,1334
8335W,1556
8336E,724
8337W,587
8338E,747
8340E,1225
8341W,593
8342E,1107
8343W,805
8344E,1394
8345W,698
8346E,1495
8347W,1053
8352E,860
8354E,1682
8356E,1487
83W,5089
8465W,2588
8466E,2895
8467W,3891
8468E,3115
8469W,3965
8471W,3009
8473W,2904
8474E,2036
8475W,4472
8476E,2712
8478E,2046
8480E,2766
8482E,2438
8484E,2646
8490E,1846
8494E,2
8496E,70
8498E,60
8500E,53
8502E,40
8503W,468
8504E,43
8505W,715
8509W,296
8511W,458
8524E,637
8526E,383
8528E,399
8530E,501
8532E,566
8534E,394
8536E,410
8538E,596
85W,5585
8620E,1217
8626E,1141
8628E,1094
8630E,1137
8631W,1185
8632E,1023
8634E,1056
8636E,1147
8638E,886
8639W,3107
8640E,844
8642E,1073
8643W,2193
8644E,997
8645W,2271
8646E,1290
8647W,2203
8649W,2261
8651W,2192
8653W,2063
8655W,1587
8658E,1163
8660E,387
8661W,1752
8662E,1508
8663W,1079
8664E,803
8665W,3600
8668E,1154
8670E,1445
8672E,1365
8674E,1572
8676E,1374
8678E,1508
8680E,1636
8686E,3004
8692E,2137
86E,3211
8706E,4513
8709W,4831
8711W,4445
8712E,2800
8713W,3959
8714E,2321
8777W,1383
8779W,1167
8781W,1099
8783W,1001
8785W,1026
8787W,1009
8789W,1265
87W,4915
8810E,920
8812E,931
8814E,1295
8816E,1244
8818E,1338
8871W,4243
8873W,3600
8875W,3411
8877W,5787
8879W,5380
8883W,5454
8885W,3812
8887W,4117
8889W,2607
8891W,4549
8893W,2377
8895W,2113
8897W,3323
8901W,3554
8903W,7627
8905W,8414
892E,6166
894E,5345
896E,4827
898E,4926
8999W,2375
89W,4477
8E,3406
900E,5381
902E,3879
904E,5757
906E,5854
907W,9762
908E,3788
909W,9570
90E,3475
9102N,2553
9104N,2390
910E,9815
9112N,1628
9116N,8794
9118N,2502
9120N,2114
9122N,2313
9124N,2530
9126N,3041
9128N,3167
912E,10244
9130N,2852
9132N,3665
9134N,2783
9136N,2362
9138N,3258
9142N,8393
914E,11277
916E,8113
9188N,6191
9190N,4617
9196N,3511
9198N,3437
91W,4966
9200N,3432
9204N,3238
9206N,3179
9208N,2876
9210N,2934
9212N,2579
9214N,2424
9216N,3257
9218N,3090
9220N,2480
9222N,2306
9224N,2700
9226N,2956
9228N,3028
9230N,3194
9232N,3471
9237S,2070
9238N,1756
9239S,1871
9240N,1521
9241S,1727
9242N,1604
9243S,2117
9244N,1464
9245S,2364
9246N,1579
9247S,2748
9248N,1341
9249S,2478
9250N,1739
9252N,1567
9254N,1580
9256N,1498
9258N,1405
9260N,1400
9262N,1304
9264N,1297
9266N,1262
9268N,1238
9270N,1345
9272N,1307
9274N,1295
9276N,1349
928W,8067
9290N,1836
9292N,2172
9294N,2396
9296N,2872
929W,8782
9302N,2704
9304N,2361
9306N,2375
9308N,2384
9310N,2414
9315S,1033
9317S,953
9319S,1001
9321S,945
9323S,1039
9327S,995
9329S,940
9331S,1119
9333S,1120
9335S,1222
9337S,1365
9339S,1393
9341S,1469
9343S,2040
9349S,1185
9351S,2373
9353S,2652
9355S,2579
9357S,2533
9359S,2505
9361S,2461
9363S,2430
9365S,2424
9367S,2646
9369S,2484
9371S,2418
9373S,2937
9375S,3376
9385S,1054
9387S,1222
9389S,671
9391S,945
9393S,1162
9395S,1084
9397S,1074
9399S,985
9401S,1126
9403S,1322
9405S,1382
9407S,1447
9413S,1186
9415S,1628
9416N,148
9417S,1677
9419S,1666
9421S,1929
9423S,1960
9425S,1804
9427S,1922
9429S,1849
9431S,1715
9433S,1668
9435S,1519
9437S,1696
9439S,1713
9443S,1791
9445S,1865
9447S,1896
9449S,1903
9451S,2516
9453S,2272
9455S,2305
9457S,2616
9459S,1015
9461S,609
9496N,1445
949W,9007
94E,3679
9500N,1217
9502N,894
9504N,1077
9506N,1082
9508N,1088
9509S,2237
9510N,1059
9511S,1918
9512N,1181
9513S,2046
9515S,1944
9516N,1148
9517S,2254
9519S,1948
951W,8440
9521S,1398
9523S,2629
9525S,1176
9527S,1336
9529S,1236
952E,8024
9531S,1247
9533S,1291
9535S,1038
9537S,1329
9539S,1588
9541S,2493
954E,5786
957W,9125
959W,7937
95W,5234
961W,8083
962E,6236
964E,4953
968E,4516
9823S,1380
9824N,1352
9825S,1478
9826N,1829
9827S,1367
9828N,1693
9829S,1342
9830N,1768
9831S,1376
9832N,1526
9833S,1345
9834N,2420
9835S,1273
9836N,2141
9837S,913
9838N,1430
9839S,964
9840N,1420
9841S,1155
9842N,1338
9843S,1087
9844N,1095
9845S,1303
9846N,1155
9847S,1272
9848N,1023
9850N,1099
9852N,1144
9854N,1147
9856N,1153
9858N,1354
9860N,1229
9862N,1229
9864N,1273
9866N,1264
9868N,1521
9870N,1446
9872N,2106
9878N,528
9880N,582
9882N,1196
9884N,1115
9886N,1232
9887S,528
9888N,1117
9889S,1105
9890N,1068
9891S,1160
9892N,1119
9893S,1187
9894N,992
9895S,1423
9896N,1050
9897S,983
9898N,1040
9899S,1091
98E,3789
9900N,995
9901S,1326
9902N,943
9903S,1116
9904N,992
9906N,989
9908N,970
990E,3296
9910N,87
9912N,917
9914N,938
9916N,543
9918N,975
9920N,933
9922N,970
9924N,1091
9926N,1011
9928N,859
9930N,953
9932N,1127
9934N,1023
9935S,1095
9936N,1027
9938N,1061
9939S,1201
9940N,913
9941S,1246
9942N,1068
9943S,1246
9944N,1143
9945S,1165
9946N,1119
9947S,1155
9948N,1019
9949S,1110
994E,1688
9950N,1072
9951S,1259
9952N,1057
9953S,1268
9954N,1020
9955S,1370
9956N,1127
9958N,1007
9960N,1126
9962N,1060
9964N,762
9966N,1108
9968N,819
9970N,1141
9972N,1371
9974N,1410
9976N,1151
9978N,1201
9980N,1184
9982N,1161
998E,1093
99W,4094
C100,2668
C104,2511
C108,2569
C1082,4158
C1084,4068
C1086,4133
C1088,3998
C1090,2163
C1092,2254
C1096,2141
C1098,4153
C1100,4678
C1102,4670
C1104,4269
C1106,4422
C1107,5284
C1108,4603
C1109,5485
C1111,4749
C1113,4657
C1115,4699
C1117,4133
C1118,4406
C1119,4437
C112,2346
C1120,4995
C1121,4413
C1122,4473
C1123,4115
C1124,3922
C1126,4299
C1128,4324
C1130,4727
C1132,4670
C1134,4615
C1136,4011
C1138,3737
C1140,4424
C1142,4768
C1144,4333
C1146,7931
C1148,7411
C1150,3912
C1152,4024
C1154,4078
C1156,4554
C1158,4341
C116,2192
C1160,3989
C1162,4204
C1164,4383
C1166,4256
C1168,4017
C1170,3690
C1172,4620
C1174,4756
C1176,4780
C1182,5432
C1186,5362
C1190,4819
C120,2328
C1206,4364
C1208,3971
C1210,3883
C1212,3698
C1214,3626
C1216,3481
C1218,3185
C1220,3375
C1222,3431
C1224,3583
C1226,3392
C1230,3314
C1234,3455
C1238,3661
C124,2320
C1242,3853
C1246,2994
C1248,2771
C1250,3310
C1252,3137
C1254,3360
C1256,3293
C1258,3355
C1260,3283
C1262,3316
C1266,3512
C1270,3223
C1274,3522
C128,2246
C132,2253
C13500,2538
C13504,2925
C13508,3410
C13512,3432
C13516,3387
C13520,3025
C13524,3242
C13528,3389
C13532,3112
C13536,2940
C13540,2990
C13544,2426
C13548,2424
C13552,2807
C13556,2738
C13568,2045
C13572,1911
C13576,2240
C13580,2077
C13584,2275
C13592,1732
C13596,2311
C13600,2325
C13604,2122
C13608,2015
C13612,1632
C13616,2011
C13620,2344
C13624,2496
C13628,2218
C13632,2546
C13636,1838
C13640,2279
C13644,2210
C13648,2691
C13652,2878
C13656,2205
C13660,2684
C13664,2565
C13668,2388
C13672,2412
C13676,2485
C13680,2234
C13684,1873
C13688,2275
C13692,2622
C13696,2378
C13700,2189
C13704,1781
C13708,2120
C13712,2814
C13716,3256
C13720,3324
C13724,3462
C13726,2570
C140,2258
C144,2081
C146,2103
C148,2114
C150,2174
C152,2056
C154,2106
C156,2089
C158,2030
C160,1760
C162,1728
C164,1821
C168,1942
C172,1832
C176,1863
C180,1956
C184,1955
C188,1934
C192,1905
C196,1972
C204,2949
C208,3704
C212,3787
C216,4081
C220,4303
C224,3695
C228,4062
C232,3911
C236,3717
C240,3028
C244,3153
C248,3349
C256,3789
C260,3390
C2636,2576
C2638,3895
C264,3090
C2640,3827
C2642,3202
C2644,3055
C2646,4274
C2648,4549
C2650,3763
C2652,3227
C2654,3765
C2656,3709
C2658,2980
C2660,3210
C2664,3866
C2668,3744
C2672,3338
C2676,3991
C268,3415
C2692,3731
C2696,3747
C2700,3093
C2704,2941
C2708,3360
C2712,3246
C2716,2718
C272,3384
C2720,3237
C2724,3192
C2728,3707
C2732,3920
C2736,3033
C2740,3125
C2744,3467
C2748,4096
C2752,3591
C2756,3679
C276,3365
C2760,4823
C2764,5988
C2768,4910
C2774,3691
C2776,3579
C2778,3578
C2780,3538
C2786,2873
C2788,3462
C2790,3585
