bay_id,st_marker_id,lat,lon,location
3394,6231W,-37.805983889506166,144.95083741087637,"{'latitude': '-37.805983889506166', 'longitude': '144.95083741087637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2648,10122E,-37.803191517115465,144.94820900121596,"{'latitude': '-37.803191517115465', 'longitude': '144.94820900121596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3387,6217W,-37.80617781003179,144.95092591905063,"{'latitude': '-37.80617781003179', 'longitude': '144.95092591905063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4116,C6390,-37.803819986544745,144.95099277694794,"{'latitude': '-37.803819986544745', 'longitude': '144.95099277694794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2679,10188E,-37.803845768677675,144.94957821859185,"{'latitude': '-37.803845768677675', 'longitude': '144.94957821859185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4027,C6092,-37.80495669586404,144.95229762380393,"{'latitude': '-37.80495669586404', 'longitude': '144.95229762380393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6061,13044N,-37.82109504413756,144.94359313381324,"{'latitude': '-37.82109504413756', 'longitude': '144.94359313381324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4026,C6090,-37.804980018917526,144.95229342836282,"{'latitude': '-37.804980018917526', 'longitude': '144.95229342836282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3624,7573S,-37.80584440198315,144.9548204611726,"{'latitude': '-37.80584440198315', 'longitude': '144.9548204611726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3261,5814E,-37.80696743898906,144.95348567820156,"{'latitude': '-37.80696743898906', 'longitude': '144.95348567820156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3375,6193W,-37.8065656135546,144.9511022369515,"{'latitude': '-37.8065656135546', 'longitude': '144.9511022369515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7063,4702Ea,-37.804573127716736,144.95899052129965,"{'latitude': '-37.804573127716736', 'longitude': '144.95899052129965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3012,5086E,-37.804660182853496,144.95783832325395,"{'latitude': '-37.804660182853496', 'longitude': '144.95783832325395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2639,10111W,-37.80357734637805,144.9479108219798,"{'latitude': '-37.80357734637805', 'longitude': '144.9479108219798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2131,3707S,-37.80916993592463,144.96551450156215,"{'latitude': '-37.80916993592463', 'longitude': '144.96551450156215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3475,6538N,-37.807802590485366,144.96133093254252,"{'latitude': '-37.807802590485366', 'longitude': '144.96133093254252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3987,C5942,-37.80407539707152,144.9539671009614,"{'latitude': '-37.80407539707152', 'longitude': '144.9539671009614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5022,9455S,-37.8302858788631,144.965829067967,"{'latitude': '-37.8302858788631', 'longitude': '144.965829067967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4289,C6914,-37.80918752192871,144.95588594908736,"{'latitude': '-37.80918752192871', 'longitude': '144.95588594908736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4446,C7738,-37.80314276449994,144.95043863536836,"{'latitude': '-37.80314276449994', 'longitude': '144.95043863536836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
