,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
28,23247,4967W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958003462667 -37.806983247684, 144.957946534103 -37.806976875943, 144.957951166252 -37.806950150789, 144.95800776527 -37.806956486173, 144.958003462667 -37.806983247684)))",POINT (144.9579772298204 -37.80696670307191),-37.80696670307191,144.9579772298204,9.26571854373055,,Unknown
29,20013,3182N,Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.95636129787 -37.813902045708, 144.956295363284 -37.813920871362, 144.956287146724 -37.813902758421, 144.956353094126 -37.813883961832, 144.95636129787 -37.813902045708)))",POINT (144.9563242167079 -37.81390241184761),-37.813902411847614,144.9563242167079,8.076484237226303,,Unknown
30,20013,3186N,Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.956295363284 -37.813920871362, 144.956230718742 -37.813939339073, 144.956222485074 -37.813921187982, 144.956287146724 -37.813902758421, 144.956295363284 -37.813920871362)))",POINT (144.9562589171368 -37.81392104244404),-37.813921042444036,144.9562589171368,7.9336587212130745,,Unknown
31,20046,3519S,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955854031065 -37.813063003342, 144.955795244936 -37.81307974945, 144.955788571528 -37.813065165231, 144.955847369777 -37.813048349946, 144.955854031065 -37.813063003342)))",POINT (144.9558213234491 -37.81306406062931),-37.81306406062931,144.95582132344913,5.820348436385938,,Unknown
32,20046,3517S,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955918163807 -37.81304473962, 144.955854031065 -37.813063003342, 144.955847372985 -37.813048357211, 144.955911471445 -37.8130300181, 144.955918163807 -37.81304473962)))",POINT (144.9558827872582 -37.81304652173797),-37.81304652173797,144.95588278725816,6.373251693930923,,Unknown
33,20046,3514N,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955978346713 -37.81297442482, 144.955924934036 -37.812989714252, 144.955918251176 -37.812975019031, 144.955971667026 -37.812959737767, 144.955978346713 -37.81297442482)))",POINT (144.9559482973095 -37.81297472467479),-37.81297472467479,144.95594829730953,5.3139453363852125,,Unknown
34,20046,3515S,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955976949907 -37.813027992548, 144.955918165978 -37.813044743262, 144.955911471445 -37.8130300181, 144.955970226397 -37.813013205605, 144.955976949907 -37.813027992548)))",POINT (144.9559442240185 -37.81302898401879),-37.81302898401879,144.95594422401845,5.8709109319523725,,Unknown
35,20046,3518N,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955860839957 -37.813008060656, 144.955796744687 -37.813026407906, 144.955790063996 -37.813011717222, 144.95580475689 -37.813007487153, 144.955854151679 -37.812993356326, 144.955860839957 -37.813008060656)))",POINT (144.9558254495168 -37.81300988056314),-37.81300988056314,144.9558254495168,6.38346449604815,,Unknown
36,20046,3516N,Little Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.955924934036 -37.812989714252, 144.955860839957 -37.813008060656, 144.955854151679 -37.812993356326, 144.955918251176 -37.812975019031, 144.955924934036 -37.812989714252)))",POINT (144.955889540775 -37.81299153852541),-37.81299153852541,144.95588954077496,6.380473612306325,,Unknown
37,20009,C2936,Lonsdale Street between Elizabeth Street and Queen Street,"MULTIPOLYGON (((144.96121246644 -37.81261232758, 144.961146413151 -37.812631672104, 144.961136244239 -37.812609711005, 144.961202137136 -37.812590043791, 144.96121246644 -37.81261232758)))",POINT (144.9611743962628 -37.81261091496932),-37.81261091496932,144.96117439626278,9.943093785601143,,Unknown
